course.co_id,course.name,course.name_eng,course.points,course.semester,course.hug,course.lesson,course.hours,course.exam_type,course.var
3264,סדנא בהכשרה מקצועית בבריאות (בתי חולים של הדסה),WORKSHOP IN FIELDWORK TRAINING IN HOSPITAL SW,9,קורס שנתי,431,הדר,4,56,4
3265,סדנא בהכשרה מקצועית ברווחת הילד,WORKSHOP IN FIELDWORK TRAINING IN CHILD WELFARE,9,קורס שנתי,431,הדר,4,56,4
3266,סדנא בהכשרה מקצועית - התמודדות עם מוגבלות וחולי,WORKSHOP IN FW - DEALING WITH DISABILITY AND ILL,9,קורס שנתי,431,הדר,4,56,4
3267,סדנא בהכשרה מקצועית בבריאות הנפש,WORKSHOP IN FIELDWORK TRAINING IN MENTAL HEALTH,9,קורס שנתי,431,הדר,4,56,4
3268,סדנא בהכשרה מקצועית בע"ס - רב תחומי,WORKSHOP IN FW TRAINING - GENERAL,9,קורס שנתי,431,הדר,4,56,4
3269,סדנא בהכשרה מקצועית בטפול בקשישים,WORKSHOP IN FW TRAINING IN SW WITH THE ELDERLY,9,קורס שנתי,431,הדר,4,56,4
3270,סדנא בהכשרה מקצועית בעבודה סוציאלית קהילתית-שנה ג',WORKSHOP IN F.W.TRAINING IN COMM. SW-3RD YEAR,9,קורס שנתי,431,הדר,4,56,4
3295,מתודות ג': שלוב בין ידע תאורטי ובין פרקטיקה בעבודה סוציאלית,SW METHODS: INTEGRATION OF THEORY AND PRACTICE,9,קורס שנתי,431,שעור,4,56,3
3296,מתודות ג': הגישה הפסיכו-אנליטית,SW METHODS: THE PSYCHOANALITIC APPROACH,9,קורס שנתי,431,שעור,4,56,3
3299,מתודות ג': קשר בין אישי כמנוף לשנוי מקדם,SW METHODS-CHANGE THROUGH PERSONAL RELATIONSHIPS,9,קורס שנתי,431,שעור,4,56,3
3301,מדיניות הרווחה בישראל: תהליכי עיצוב,ISRAEL'S WELFARE POLICY: FORMULATION PROCESS,1,א',431,שעור,2,28,1
3304,מתודות בעבודה סוציאלית (מתודות לשנה ב'),SOCIAL WORK METHODS,9,קורס שנתי,431,שעור,4,56,3
3305,החברה החרדית,THE HAREDI COMMUNITY,2,ב',431,שעור,2,28,3
3306,מבוא לבטחון סוציאלי,INTRODUCTION TO SOCIAL SECURITY,2,ב',431,שעור,2,28,1
3307,פסיכופתולוגיה: מבט מן התאוריה אל השדה,PSYCHOPATHOLOGY: FROM THEORY TO THE FIELD,2,ב',431,שעור,2,28,1
3311,היבטים ארגוניים של מחאה ותנועות חברתיות,ORGANIZATIONAL PERSPECTIVES OF SOCIAL MOVEMENTS,9,קורס שנתי,433,סמ,4,56,3
3312,ניתוח מדיניות חברתית,THE ANALYSIS OF SOCIAL POLICY RESEARCH AND THEIR,1,א',431,שעור,1,14,3
3313,סטיה חברתית: מבוא להבנתה,SOCIAL DEVIANCE AND DELINQUENCY,2,ב',431,שעור,2,28,1
3315,בריאות הנפש בגיל הרך ב',MENTAL HEALTH IN EARLY CHILDHOOD - 2,1,א',434,שעור,2,28,3
3317,מתודות ודרכי התערבות קהילתית וארגונית ,COMMUNITY AND ORG. SOCIAL WORK INTERV.A,1,א',431,שעור,4,56,3
3321,שיטות מחקר -א',RESEARCH METHODS - I,1,א',431,שעור,2,28,1
3322,שיטות מחקר-ב',RESARCH METHODS-II,2,ב',431,שעור,2,28,1
3323,המאבק בעוני: ממדיניות להתערבות,ACTION AGAINST POVERTY: POLICY AND PRACTICES,2,ב',431,שעור,2,28,3
3326,נשים בקהילה ושנוי חברתי: פרקטיקה בקורתית,WOMEN IN THE COMMUNITY: S.W. CRITICAL PRACTICE,2,ב',431,שעור,2,28,3
3328,ארגון ומינהל של שרותי רווחה,ORGANIZATION AND ADMINISTR. OF SOCIAL SERVICES,2,ב',431,שעור,2,28,1
3335,מתבגרים: סוגיות בהתפתחותם,ADOLESCENTS AND THEIR DEVELOPMENT: SELECTED ISSU,1,א',431,שעור,2,28,1
3340,שרותי רווחה אישיים,PERSONAL SOCIAL SERVICES,3,א' או ב',431,שות,2,28,1
3348,זכרון טראומטי: הבנייה אישית וקולקטיבית,TRAUMATIC MEMORY: PERSONAL AND COLLECTIVE STRUCT,1,א',431,שעור,2,28,NULL
3351,סדנא בהכשרה מקצועית ב',WORKSHOP IN FIELDWORK TRAINING FOR 2ND YEAR STUD,9,קורס שנתי,431,הדר,4,56,4
3352,הכשרה מקצועית (שנה ב'ׂׂׂׂׂ),FIELD WORK,9,קורס שנתי,431,ע.מע,8,112,4
3357,הדרכת הורים,PARENTS GUIDANCE,2,ב',434,שעור,2,28,6
3359,מדיניות וקהילה,POLICY AND COMMUNITY,2,ב',431,שעור,2,28,3
3360,עבודה סוציאלית עם קבוצות,SOCIAL WORK PRACTICE WITH GROUPS,1,א',431,שעור,2,28,3
3364,אלימות בני נוער: תמונת מצב ואפשרויות לשינוי,VIOLENCE AMONG YOUTH: OPTIONS FOR CHANGE,9,קורס שנתי,431,סמ,4,56,3
3365,בין טובת הילד לזכותו,BETWEEN CHILDREN'S RIGHTS AND THE BEST INTEREST,1,א',431,שעור,2,28,1
3371,מיומנויות תקשורת בין אישית בעבודה קהילתית,COMMUNICATION SKILLS IN COMMUNITY WORK,1,א',431,שעור,2,28,3
3381,סינגור קהילתי,COMMUNITY ADVOCACY PRACTICE,2,ב',431,שעור,2,28,3
3402,שיטות מחקר איכותניות למתקדמים,ADVANCED QUALITATIVE RESEARCH METHODS- DATA ANAL,1,א',431,שעור,2,28,3
3408,מיניות בזוגיות,Sexuality in marriage,1,א',431,שעור,2,28,3
3409,בריאות הנפש בגיל הרך א',MENTAL HEALTH IN EARLY CHILDHOOD -A,2,ב',434,שעור,2,28,6
3410,מציאות מתעתעת: פסיכולוגיה אבנורמלית בראי הקולנוע,ILLUSORY REALITY: ABNORMAL PSYCHOLOGY THROUGH TH,1,א',431,שעור,2,28,1
3412,סטיגמה והשלכותיה על הפרט, המשפחה והקהילה,STIGMA AND ITS IMPACT ON THE INDIVIDUAL, FAMILY AND COMMUNITY ,2,ב',431,שעור,2,28,3
3416,גרנטולוגיה חברתית,SOCIAL GERONTOLOGY,2,ב',431,שעור,2,28,1
3417,סמינר לייזום תכנון וניהול פרויקטים,Seminar for initiating planning and project management,9,קורס שנתי,431,סמ,4,56,1
3425,פרקטיקום בבריאות הנפש בגיל הרך,PRACTICUM IN MENTAL HEALTH TRAINING,9,קורס שנתי,434,שעור,6,84,4
3426,מודלים להתערבות בבריאות הנפש בגיל הרך,MODELS OF INTERVANTION IN INFANT MENTAL HEALTH,1,א',434,שעור,2,28,6
3438,מדיניות כלפי שימוש בסמים: פרספקטיבה היסטורית והשוואתית,DRUG POLICY: HISTORICAL AND COMPARATIVE PERSPECT,1,א',431,שעור,2,28,3
3448,השמוש בסמכות ובחוק ככלים טפוליים,AUTHORITY AND LAW AS INTERVENTION METHODS,2,ב',431,שעור,2,28,3
3454,נכות התפתחותית כאתגר לפרט, למשפחה ולקהילה,DISABILITY AS CHALLENGE TO INDIVIDUAL,FAMILY AND,1,א',431,שעור,2,28,3
3466,מתודות ג': עבודה סוציאלית מוכוונת מטופל,SOCIAL WORK CLIENT ORIENTED,9,קורס שנתי,431,שעור,4,56,3
3467,החברה והשפעתה על הבריאות הגופנית והנפשית: תיאוריה ופרקטיקה בהתערבות פסיכו-סוציאלית,SOCIETY AND ITS EFFECTS  ON CHILD MENTAL HEALTH,2,ב',431,שעור,2,28,3
3469,כישורי אלתור דרמטי למטפלים,IMPROVISATIONAL SKILLS FOR THERAPISTS,3,א' או ב',431,שעור,2,28,3
3470,טיפול נרטיבי בעבודה סוציאלית,Narrative therapy in social work practice ,1,א',431,שעור,2,28,NULL
3471,צועני אירופה והמ(ו)סר הכפול של קבלה והדרה,Strangers in Their Homeland: The Roma (Gypsies) of Europe and the Two-Faced Morality of inclusion/ex,1,א',431,שעור,2,28,NULL
3472,מבוא לפסיכולוגיה ללא פסיכולוגים,INTRODUCTION TO PSYCHOLOGY FOR NON-PSYCHOLOGISTS,2,ב',431,שעור,2,28,NULL
3473,המשפחה בת זמננו: דפוסי שינוי והשלכותיהם על הפרטים במשפחה,The contemporary family: patterns of change and consequences on individuals in the family,9,קורס שנתי,431,סמ,4,56,NULL
3474,סוגיות מחקריות בתחום הבריאות, נכות ומוגבלות,Research in the health and disabilities field,9,קורס שנתי,431,סמ,4,56,NULL
3475,בדידות במעגל החיים,NULL,9,קורס שנתי,431,סמ,4,56,NULL
3476,המחצית השניה של החיים,THE SECOND HALF OF LIFE,9,קורס שנתי,431,סמ,4,56,NULL
3477,היבטים משפחתיים תרבותיים וסביבתיים בשיקומם של אנשים עם מחלות נפשיות ומוגבליות אחרות,Familial, Cultural and Environmental Aspects in the Rehabilitation of Persons With Mental Illness an,9,קורס שנתי,431,סמ,4,56,NULL
3478,הורים וילדים מתמודדים עם טראומה ,Parents and children coping with trauma,9,קורס שנתי,431,סמ,4,56,NULL
3479,סדנה רב תחומית לרב תרבותיות ,Multidisciplinary Workshop on multiculturalism,2,ב',431,שעור,2,28,NULL
3480,נאורות, גזענות ומה שביניהן: צועני אירופה כמקרה מבחן,Between enlightenment and racism: Europe's Roma as a test-case,2,ב',431,שעור,2,28,NULL
3481,אתגרים ודילמות בניהול שירותי רווחה,Challenges and dillemas in social services management,2,ב',431,שעור,2,28,NULL
3482,זכויות הילד בארץ ובעולם: המקרה של חברות רב תרבותיות וחברות המאופיינות באי שוויון ,Child and youth rights in multicultural and unjust societies,2,ב',431,שעור,2,28,NULL
3483,יצירה קולנועית והתמודדות עם שכול וטראומה,Cinema and coping with trauma and bereavement ,1,א',431,שעור,2,28,NULL
3484,תפיסת ההחלמה כמקדמת שינויים ואתגרים בשיקומם של אנשים עם מגבלה נפשית,The Recovery Perspective: Advancing Changes and Challenges in the Rehabilitation of Persons With Me,2,ב',431,שעור,2,28,NULL
3485,עבודה סוציאלית לפי הגישה ההתייחסותית,Social Work and relational psychotherapy,2,ב',431,שעור,2,28,NULL
3486,פגיעות מיניות בילדים,Child sexual abuse,2,ב',431,שעור,2,28,NULL
3487,מתבגרים וצעירים במצבי הגירה,(Trans) Migration and Youth,2,ב',431,שעור,2,28,NULL
3488,מדינת הרווחה ואנשים עם מוגבלויות: בין הדרה להכלה,Disability and the Welfare State: Between Exclusion and Inclusion,2,ב',431,שעור,2,28,NULL
3489,מתודות ג': "נפש, חברה, תרבות - יישומים של גישה אנליטית ופסיכואנליטית בשדה העבודה הסוציאלית",Methods III: The Psyche, Society and Culture- Application of the analytic approach and psychoanaliti,9,קורס שנתי,431,שעור,4,56,NULL
3490,פרקטיקום א- התערבויות במשפחה בגישה מבוססת התקשרות,practicum 1- Attachment based family interventions,2,ב',431,סמ,2,28,NULL
3491,מגמות ושינויים במשפחה בת ימינו,Patterns and changes in the contemporary family,9,קורס שנתי,431,סמ,4,56,NULL
3492,תכנון אסטרטגי,STRATEGIC PLANNING,2,ב',433,שעור,2,28,NULL
3493,פעילות החברה האזרחית לקידום דו-קיום בישראל,Civil Society Activities promoting Coexistence in Israel,2,ב',433,שעור,2,28,NULL
3494,סוגיות מגדריות בחברה האזרחית,Gender issues in civil society,9,קורס שנתי,433,סמ,4,56,NULL
3495,פיתוח וניהול תוכניות בגיל הרך,Development and management of early childhood programs,9,קורס שנתי,434,סמ,4,56,NULL
3496,סדנת תיזה,Thesis Workshop,9,קורס שנתי,431,הדר,4,56,NULL
3497,מתודות בעבודה קהילתית,Community Work Methods,1,א',432,שעור,4,56,NULL
3498,ילדים בסיכון בפרספקטיבה בינלאומית משווה,Children at risk from a comperative international perspective ,1,א',431,סיור,2,28,NULL
3499,פילנתרופיה - פרספקטיבות מקומיות ובינלאומיות ,Philanthropy: International and Local Perspectives,1,א',433,שעור,2,28,NULL
3500,בעקבות האב האבוד: גילוי מחדש של משמעות האב להתפתחות ילדיו,Tracking the lost father: Rediscovering the fathers' contribution to childrens' development,2,ב',431,שעור,2,28,NULL
3502,החברה הישראלית: סוגיות נבחרות,ISRAELI SOCIETY: SELECTED ISSUES,1,א',431,שעור,2,28,1
3503,בין זהות אישית לזהות מקצועית,BETWEEN PERSONAL AND PROFESSIONAL IDENTITY,2,ב',431,שעור,2,28,3
