group.id,course.co_id,group.lesson
8974211,10123,סדנה,ב
8269445,10131,שעור,א
9032154,10131,שעור,ב
8269448,10132,ע.מע,א
9032155,10132,ע.מע,ב
8269449,10162,שעור, 
8269450,10221,שות, 
8269451,10223,שות, 
8973565,10226,שעור,NULL
8973783,10227,שעור,NULL
8973784,10228,שעור,NULL
8987123,10229,שעור,NULL
8269454,10510,שעור, 
8974274,10515,שעור,NULL
8974912,10522,תרג,NULL
8974911,10524,תרג,NULL
8974577,10532,תרג,NULL
8974578,10534,תרג,NULL
8269458,10555,תרג,א
8269459,10555,תרג,ב
8269460,10555,תרג,ג
8269461,10555,תרג,ד
8269463,10556,תרג,א
8269464,10556,תרג,ב
8269465,10556,תרג,ג
8269466,10556,תרג,ד
8974266,10610,שעור,NULL
8269469,10615,שעור, 
8269470,10655,תרג,א
8269471,10655,תרג,ב
8269472,10655,תרג,ג
8269473,10665,תרג,א
8269474,10665,תרג,ב
8269475,10665,תרג,ג
8974377,10700,סמ,NULL
8269477,10760,סמ, 
8269478,10780,סדנה, 
8269479,10790,סדנה, 
8269480,10795,מטלה,א
8269481,10795,מטלה,ב
8973087,10800,שעור,NULL
8269482,10801,שעור, 
8973224,10802,תרג,א
8973225,10802,תרג,ב
8973226,10802,תרג,ג
8973227,10802,תרג,ד
8973228,10802,תרג,ה
8269483,10803,שות, 
8973088,10804,שעור,NULL
8269485,10806,תרג,
8269487,10808,סמ, 
8269488,10809,סמ, 
8269489,10810,שעור, 
8269490,10810,תרג,א
8269491,10810,תרג,ב
8269492,10810,תרג,ג
8269493,10810,תרג,ד
8973299,10813,סמ,NULL
8269501,11040,שות, 
8269502,11050,שות, 
8269503,11051,שעור, 
8269504,11055,שות,א
8269505,11055,שות,ב
8973646,11060,שעור,NULL
8973541,11121,שות,ט
9022263,11121,שות,י
8269508,11121,שות,א
8269509,11121,שות,ב
8269510,11121,שות,ג
8269513,11121,שות,ד
8269514,11121,שות,ה
8269515,11121,שות,ו
8269516,11121,שות,ז
8269517,11121,שות,ח
8269518,11122,שות,א
8269519,11122,שות,ב
8269520,11122,שות,ג
8975018,11122,שות,ד
9017976,11122,שות,ה
8269521,11131,שות,א
8269522,11131,שות,ב
8269523,11131,שות,ג
8269524,11141,שות,א
8269525,11141,שות,ב
8269526,11141,שות,ג
8269528,11141,שות,ד
9022695,11141,שות,ה
8269530,11142,שות,א
8269531,11142,שות,ב
8269532,11142,שות,ג
9017974,11162,שות,ב
9017973,11162,שות,א
9017975,11162,שות,ג
8973903,11181,שות,כה
8973901,11181,שות,כג
8973902,11181,שות,כד
8973644,11181,שות,כא
8973645,11181,שות,כב
8269534,11181,שות,א
8269535,11181,שות,ב
8269536,11181,שות,ג
8269537,11181,שות,ד
8269538,11181,שות,ה
8269539,11181,שות,ו
8269540,11181,שות,ז
8269541,11181,שות,ח
8269542,11181,שות,ט
8269543,11181,שות,י
8269544,11181,שות,יא
8269545,11181,שות,יב
8269546,11181,שות,יג
8269547,11181,שות,יד
8269550,11181,שות,יז
8269553,11181,שות,יח
8269554,11181,שות,יט
8269548,11181,שות,טו
8269549,11181,שות,טז
8269555,11181,שות,כ
8269556,11182,שות,א
8269560,11182,שות,ה
8269561,11182,שות,ו
8269563,11182,שות,ז
8269564,11182,שות,ח
8269565,11182,שות,ט
8269566,11182,שות,י
8269567,11182,שות,יא
8269557,11182,שות,ב
8269558,11182,שות,ג
8269559,11182,שות,ד
8269568,11189,שות, 
