127.0.0.1, 2015-04-30 12:42:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 500, 0.159449
127.0.0.1, 2015-04-30 12:42:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.166568
127.0.0.1, 2015-04-30 12:42:43, POST, /admin/default/edit/ihuji/models/db.py, HTTP/1.1, 200, 0.070542
127.0.0.1, 2015-04-30 12:42:55, POST, /admin/default/edit/ihuji/models/db.py, HTTP/1.1, 200, 0.061400
127.0.0.1, 2015-04-30 12:43:08, POST, /admin/default/edit/ihuji/models/db.py, HTTP/1.1, 200, 0.054007
127.0.0.1, 2015-04-30 12:43:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.069273
127.0.0.1, 2015-04-30 12:43:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.199785
127.0.0.1, 2015-04-30 12:43:34, GET, /admin/default/site, HTTP/1.1, 200, 0.098568
127.0.0.1, 2015-04-30 12:43:39, GET, /ihuji/default/index, HTTP/1.1, 200, 0.297817
127.0.0.1, 2015-04-30 12:43:39, GET, /ihuji/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003218
127.0.0.1, 2015-04-30 12:43:39, GET, /ihuji/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.003080
127.0.0.1, 2015-04-30 12:43:39, GET, /ihuji/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003122
127.0.0.1, 2015-04-30 12:43:39, GET, /ihuji/static/js/jquery.js, HTTP/1.1, 200, 0.001717
127.0.0.1, 2015-04-30 12:43:39, GET, /ihuji/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002450
127.0.0.1, 2015-04-30 12:43:39, GET, /ihuji/static/css/calendar.css, HTTP/1.1, 200, 0.001752
127.0.0.1, 2015-04-30 12:43:39, GET, /ihuji/static/js/calendar.js, HTTP/1.1, 200, 0.001829
127.0.0.1, 2015-04-30 12:43:39, GET, /ihuji/static/js/web2py.js, HTTP/1.1, 200, 0.001805
127.0.0.1, 2015-04-30 12:43:39, GET, /ihuji/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001339
127.0.0.1, 2015-04-30 12:43:39, GET, /ihuji/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001285
127.0.0.1, 2015-04-30 12:43:39, GET, /ihuji/static/js/share.js, HTTP/1.1, 200, 0.001039
127.0.0.1, 2015-04-30 12:43:39, GET, /ihuji/static/images/favicon.ico, HTTP/1.1, 200, 0.001450
127.0.0.1, 2015-04-30 12:43:40, GET, /ihuji/static/images/background.jpg, HTTP/1.1, 200, 0.005742
127.0.0.1, 2015-04-30 12:43:40, GET, /ihuji/static/images/twitter.png, HTTP/1.1, 200, 0.001688
127.0.0.1, 2015-04-30 12:43:40, GET, /ihuji/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.002209
127.0.0.1, 2015-04-30 12:43:40, GET, /ihuji/static/images/gplus-32.png, HTTP/1.1, 200, 0.001706
127.0.0.1, 2015-04-30 12:43:40, GET, /ihuji/static/images/facebook.png, HTTP/1.1, 200, 0.001836
127.0.0.1, 2015-04-30 12:43:45, GET, /admin/default/index, HTTP/1.1, 303, 0.006975
127.0.0.1, 2015-04-30 12:43:45, GET, /admin/default/site, HTTP/1.1, 200, 0.080254
127.0.0.1, 2015-04-30 12:43:49, GET, /ihuji/default/index, HTTP/1.1, 200, 0.070807
127.0.0.1, 2015-04-30 12:44:12, GET, /admin/default/site, HTTP/1.1, 200, 0.098744
127.0.0.1, 2015-04-30 12:44:18, GET, /admin/default/design/ihuji, HTTP/1.1, 200, 0.270042
127.0.0.1, 2015-04-30 12:44:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.070665
127.0.0.1, 2015-04-30 12:44:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.232031
127.0.0.1, 2015-04-30 12:44:26, GET, /ihuji/appadmin/index, HTTP/1.1, 200, 0.319234
127.0.0.1, 2015-04-30 12:44:26, GET, /ihuji/static/js/share.js, HTTP/1.1, 304, 0.000775
127.0.0.1, 2015-04-30 12:44:27, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.136860
127.0.0.1, 2015-04-30 12:44:40, GET, /ihuji/appadmin/select/db, HTTP/1.1, 200, 0.105297
127.0.0.1, 2015-04-30 12:44:40, GET, /ihuji/static/js/share.js, HTTP/1.1, 304, 0.001281
127.0.0.1, 2015-04-30 12:45:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.086533
127.0.0.1, 2015-04-30 12:45:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.144245
127.0.0.1, 2015-04-30 12:46:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.106349
127.0.0.1, 2015-04-30 12:46:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.239912
127.0.0.1, 2015-04-30 12:47:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.106352
127.0.0.1, 2015-04-30 12:47:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.211735
127.0.0.1, 2015-04-30 12:48:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.114419
127.0.0.1, 2015-04-30 12:48:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.265201
127.0.0.1, 2015-04-30 12:49:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.116119
127.0.0.1, 2015-04-30 12:49:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.216119
127.0.0.1, 2015-04-30 12:50:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.093262
127.0.0.1, 2015-04-30 12:50:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.240984
127.0.0.1, 2015-04-30 12:51:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.131698
127.0.0.1, 2015-04-30 12:51:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.267028
127.0.0.1, 2015-04-30 13:18:35, GET, /, HTTP/1.1, 303, 0.000508
127.0.0.1, 2015-04-30 13:18:36, GET, /welcome/default/index, HTTP/1.1, 200, 0.290091
127.0.0.1, 2015-04-30 13:18:36, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001238
127.0.0.1, 2015-04-30 13:18:39, GET, /admin/default/edit/ihuji/models/db.py, HTTP/1.1, 200, 0.094296
127.0.0.1, 2015-04-30 13:18:40, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.053014
127.0.0.1, 2015-04-30 13:18:41, GET, /ihuji/appadmin/hooks, HTTP/1.1, 500, 0.618702
127.0.0.1, 2015-04-30 13:18:41, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.623405
